,Unnamed: 0,stn,year,mo,da,temp,max,min
0,0,702190,1945,1,1,15.6,20.3,13.5
1,1,702190,1945,3,28,8.7,13.5,6.4
2,2,702190,1945,3,31,29.1,32.4,25.3
3,3,702190,1945,5,3,11.3,18.3,3.4
4,4,702190,1945,11,2,19.6,22.5,15.4
5,5,702190,1945,12,5,-2.5,2.5,-9.6
6,6,702190,1945,1,21,32.1,39.4,26.4
7,7,702190,1945,3,12,-11.5,-2.6,-19.7
8,8,702190,1945,3,21,4.0,23.4,-10.7
9,9,702190,1945,5,13,28.1,39.4,19.4
10,10,702190,1945,9,17,41.8,51.3,33.4
11,11,702190,1945,9,18,44.0,53.4,35.4
12,12,702190,1945,9,19,43.1,55.4,33.4
13,13,702190,1945,12,25,-4.8,-1.7,-7.6
14,14,702190,1945,1,2,17.1,21.4,12.4
15,15,702190,1945,1,3,21.0,25.3,15.4
16,16,702190,1945,1,5,24.9,30.4,21.4
17,17,702190,1945,1,9,20.4,30.4,14.4
18,18,702190,1945,1,10,19.1,20.3,17.4
19,19,702190,1945,1,11,14.6,19.4,10.4
20,20,702190,1945,1,13,15.5,18.3,13.5
21,21,702190,1945,1,14,8.2,13.5,6.4
22,22,702190,1945,1,15,8.9,11.3,7.3
23,23,702190,1945,1,18,31.0,34.3,27.3
24,24,702190,1945,1,19,27.7,35.4,18.3
25,25,702190,1945,1,20,26.3,38.3,21.4
26,26,702190,1945,1,22,23.8,29.3,21.4
27,27,702190,1945,1,27,17.4,23.4,13.5
28,28,702190,1945,2,6,6.3,10.4,4.5
29,29,702190,1945,2,8,6.2,12.4,4.5
30,30,702190,1945,2,9,2.5,9.3,-0.6
31,31,702190,1945,2,10,-2.1,5.4,-7.6
32,32,702190,1945,2,11,-12.9,-4.5,-22.5
33,33,702190,1945,2,12,-16.4,-10.7,-24.5
34,34,702190,1945,2,14,7.0,16.3,-3.6
35,35,702190,1945,2,19,25.9,29.3,20.3
36,36,702190,1945,2,22,8.7,37.4,-2.6
37,37,702190,1945,3,5,20.3,26.4,17.4
38,38,702190,1945,3,6,18.6,27.3,12.4
39,39,702190,1945,3,7,4.7,13.5,-1.7
40,40,702190,1945,3,8,5.9,9.3,2.5
41,41,702190,1945,3,14,-2.9,1.4,-14.6
42,42,702190,1945,3,16,6.4,23.4,0.3
43,43,702190,1945,3,17,22.7,28.4,18.3
44,44,702190,1945,3,18,9.6,26.4,-1.7
45,45,702190,1945,3,19,5.3,14.4,-8.7
46,46,702190,1945,3,20,11.6,18.3,4.5
47,47,702190,1945,3,22,-4.5,5.4,-12.6
48,48,702190,1945,3,23,-11.0,-1.7,-18.6
49,49,702190,1945,3,24,-0.1,1.4,-1.7
50,50,702190,1945,3,27,13.0,22.5,6.4
51,51,702190,1945,3,29,5.1,16.3,-1.7
52,52,702190,1945,3,30,5.9,30.4,-9.6
53,53,702190,1945,4,1,3.0,19.4,-15.5
54,54,702190,1945,4,7,28.1,33.4,20.3
55,55,702190,1945,4,13,25.6,30.4,20.3
56,56,702190,1945,4,25,30.4,35.4,25.3
57,57,702190,1945,4,30,23.7,33.4,17.4
58,58,702190,1945,5,2,12.2,16.3,5.4
59,59,702190,1945,10,9,29.2,35.4,24.4
60,60,702190,1945,10,14,24.3,33.4,16.3
61,61,702190,1945,10,19,31.8,36.3,29.3
62,62,702190,1945,10,23,22.0,31.3,13.5
63,63,702190,1945,10,26,21.0,31.3,13.5
64,64,702190,1945,10,30,29.1,34.3,26.4
65,65,702190,1945,11,3,13.0,19.4,6.4
66,66,702190,1945,11,12,9.7,21.4,2.5
67,67,702190,1945,11,20,3.7,6.4,0.3
68,68,702190,1945,11,22,15.0,25.3,9.3
69,69,702190,1945,12,1,-11.4,-7.6,-16.6
70,70,702190,1945,12,4,-1.4,1.4,-5.6
71,71,702190,1945,12,6,-7.8,2.5,-14.6
72,72,702190,1945,12,7,-0.1,4.5,-11.6
73,73,702190,1945,12,8,-11.1,-8.7,-13.5
74,74,702190,1945,12,11,32.2,38.3,17.4
75,75,702190,1945,12,26,-3.4,0.3,-6.5
76,76,702190,1945,12,27,-1.2,2.5,-5.6
77,77,702190,1945,12,31,-4.5,-1.7,-10.7
78,78,702190,1945,1,4,22.7,28.4,19.4
79,79,702190,1945,1,6,13.0,24.4,8.4
80,80,702190,1945,1,12,13.3,17.4,11.3
81,81,702190,1945,1,16,11.5,17.4,9.3
82,82,702190,1945,1,17,26.8,33.4,17.4
83,83,702190,1945,1,26,10.1,17.4,6.4
84,84,702190,1945,1,31,37.1,42.4,33.4
85,85,702190,1945,2,1,30.1,44.4,22.5
86,86,702190,1945,2,2,20.9,29.3,16.3
87,87,702190,1945,2,3,15.8,24.4,10.4
88,88,702190,1945,2,4,13.6,20.3,7.3
89,89,702190,1945,2,5,3.6,11.3,-2.6
90,90,702190,1945,2,7,6.2,11.3,1.4
91,91,702190,1945,2,13,-11.7,-4.5,-15.5
92,92,702190,1945,2,17,34.6,38.3,27.3
93,93,702190,1945,2,20,21.4,28.4,16.3
94,94,702190,1945,2,21,14.7,25.3,5.4
95,95,702190,1945,3,9,1.8,9.3,-4.5
96,96,702190,1945,3,10,-1.2,7.3,-6.5
97,97,702190,1945,3,11,-6.8,2.5,-12.6
98,98,702190,1945,3,13,-7.5,-0.6,-12.6
99,99,702190,1945,3,15,-9.3,2.5,-23.6
100,100,702190,1945,3,25,-0.9,22.5,-11.6
101,101,702190,1945,4,2,3.3,12.4,-2.6
102,102,702190,1945,4,3,5.3,12.4,-0.6
103,103,702190,1945,4,4,4.5,13.5,-3.6
104,104,702190,1945,4,5,9.6,18.3,2.5
105,105,702190,1945,4,6,14.3,27.3,1.4
106,106,702190,1945,4,14,21.3,30.4,11.3
107,107,702190,1945,4,16,30.9,42.4,23.4
108,108,702190,1945,4,17,36.9,41.4,33.4
109,109,702190,1945,4,18,34.4,40.3,29.3
110,110,702190,1945,4,19,32.6,41.4,24.4
111,111,702190,1945,4,20,30.3,36.3,23.4
112,112,702190,1945,4,21,31.8,42.4,23.4
113,113,702190,1945,4,22,33.6,42.4,23.4
114,114,702190,1945,4,26,30.1,34.3,25.3
115,115,702190,1945,4,27,28.3,35.4,22.5
116,116,702190,1945,4,28,26.2,34.3,17.4
117,117,702190,1945,4,29,26.7,33.4,18.3
118,118,702190,1945,5,1,17.7,27.3,10.4
119,119,702190,1945,5,4,17.4,30.4,7.3
120,120,702190,1945,5,5,27.0,43.3,16.3
121,121,702190,1945,5,6,39.4,50.4,30.4
122,122,702190,1945,5,7,41.7,53.4,28.4
123,123,702190,1945,5,8,41.9,52.3,30.4
124,124,702190,1945,5,9,41.3,58.3,30.4
125,125,702190,1945,5,10,37.0,46.4,29.3
126,126,702190,1945,5,11,36.8,44.4,26.4
127,127,702190,1945,5,12,29.2,43.3,18.3
128,128,702190,1945,5,14,35.7,45.3,23.4
129,129,702190,1945,5,16,36.9,44.4,33.4
130,130,702190,1945,5,17,38.2,52.3,27.3
131,131,702190,1945,5,18,46.8,56.3,36.3
132,132,702190,1945,5,19,43.6,54.3,36.3
133,133,702190,1945,5,24,40.8,48.4,33.4
134,134,702190,1945,5,25,44.5,51.3,36.3
135,135,702190,1945,6,1,46.4,58.3,35.4
136,136,702190,1945,6,2,48.8,62.4,35.4
137,137,702190,1945,6,3,49.4,59.4,38.3
138,138,702190,1945,6,6,54.8,65.3,40.3
139,139,702190,1945,6,15,51.8,62.4,43.3
140,140,702190,1945,6,16,57.9,72.3,41.4
141,141,702190,1945,6,23,57.7,68.4,45.3
142,142,702190,1945,6,24,57.1,64.4,46.4
143,143,702190,1945,6,25,59.3,68.4,44.4
144,144,702190,1945,6,26,60.8,71.2,51.3
145,145,702190,1945,6,29,50.0,62.4,41.4
146,146,702190,1945,7,4,59.2,68.4,48.4
147,147,702190,1945,7,8,64.9,76.3,53.4
148,148,702190,1945,7,25,55.3,65.3,45.3
149,149,702190,1945,7,26,59.1,67.3,46.4
150,150,702190,1945,7,27,60.7,70.3,48.4
151,151,702190,1945,7,31,56.0,64.4,52.3
152,152,702190,1945,8,2,58.6,67.3,54.3
153,153,702190,1945,8,5,58.9,66.4,49.3
154,154,702190,1945,8,6,55.9,66.4,44.4
155,155,702190,1945,8,7,56.5,65.3,50.4
156,156,702190,1945,8,17,50.7,59.4,46.4
157,157,702190,1945,8,18,54.2,63.3,43.3
158,158,702190,1945,8,19,53.9,66.4,42.4
159,159,702190,1945,9,8,45.8,53.4,40.3
160,160,702190,1945,9,10,43.9,52.3,39.4
161,161,702190,1945,9,24,46.4,54.3,40.3
162,162,702190,1945,9,25,45.2,56.3,38.3
163,163,702190,1945,9,29,44.4,54.3,37.4
164,164,702190,1945,10,2,44.1,52.3,37.4
165,165,702190,1945,10,6,36.8,42.4,31.3
166,166,702190,1945,10,7,36.7,46.4,30.4
167,167,702190,1945,10,10,30.7,37.4,22.5
168,168,702190,1945,10,12,26.2,33.4,21.4
169,169,702190,1945,10,13,26.9,35.4,20.3
170,170,702190,1945,10,21,23.8,31.3,19.4
171,171,702190,1945,10,22,23.8,31.3,18.3
172,172,702190,1945,10,24,19.0,29.3,12.4
173,173,702190,1945,10,25,16.6,28.4,6.4
174,174,702190,1945,11,13,3.8,6.4,2.5
175,175,702190,1945,11,14,5.2,8.4,2.5
176,176,702190,1945,11,15,0.9,7.3,-1.7
177,177,702190,1945,11,16,-2.7,1.4,-4.5
178,178,702190,1945,11,17,-3.2,-0.6,-4.5
179,179,702190,1945,11,18,-3.5,0.3,-5.6
180,180,702190,1945,11,19,-2.8,2.5,-4.5
181,181,702190,1945,11,24,-7.7,-0.6,-12.6
182,182,702190,1945,11,25,-7.0,-5.6,-7.6
183,183,702190,1945,11,26,-13.5,-5.6,-19.7
184,184,702190,1945,11,27,-13.9,-9.6,-16.6
185,185,702190,1945,11,28,-12.5,-8.7,-15.5
186,186,702190,1945,11,29,-14.8,-8.7,-19.7
