date,wban,stn,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,flag_max,min,flag_min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud,usaf,name,country,state,call,lat,lon,elev,begin,end,point_gis,fake_date
1950-01-01,93116,999999,1950,01,01,51.2,6,41,6,1019.7,6,1001.5,6,6.3,6,3.8,6,5.1,999.9,52,*,48,*,0,I,999.9,0,0,0,0,0,0,999999,SAN NICHOLAS ISLAND,US,CA,KNSI,33.25,-119.45,+0153.6,19450401,19721201,POINT(-119.45 33.25),2000-01-01
1950-01-01,99999,296760,1950,01,01,-18.3,4,-20.5,4,1027.5,4,9999.9,0,999.9,0,0.0,4,999.9,999.9,-11,,-22,*,0.01,E,999.9,0,0,1,0,0,0,296760,AGINSKOE,RS,,,55.25,94.883,+0337.0,19480101,20190831,POINT(94.883 55.25),2000-01-01
1950-01-01,99999,351330,1950,01,01,2.8,6,0.8,6,1011.8,6,9999.9,0,8.7,6,4.3,6,8.0,999.9,9,*,-4,*,0.02,E,999.9,0,0,1,0,0,0,351330,ADAMOVKA,RS,,,51.533,59.983,+0285.0,19461003,20021205,POINT(59.983 51.533),2000-01-01
1950-01-01,99999,787630,1950,01,01,67,7,61.5,7,1009.9,7,9999.9,0,12.4,7,14.3,7,18.1,999.9,73,*,63,*,0,I,999.9,0,0,0,0,0,0,787630,AGROPECURARIA,CS,,MRPT,9.97,-84.82,+0003.0,19490109,20051103,POINT(-84.82 9.97),2000-01-01
1950-01-01,99999,956770,1950,01,01,65.2,7,9999.9,0,9999.9,0,9999.9,0,999.9,0,15.7,7,23.9,999.9,71.2,*,59.2,*,0,I,999.9,0,0,0,0,0,0,956770,ADELAIDE PARAFIELD,AS,,YPPF,-34.793,138.633,+0017.4,19390331,20190831,POINT(138.633 -34.793),2000-01-01
1950-01-01,99999,711010,1950,01,01,12.9,16,7,15,1027.8,16,9999.9,0,2.3,16,25.5,16,28.0,999.9,15.4,*,10.4,*,99.99,,999.9,0,0,1,0,0,0,711010,SANDSPIT AWOS  BC,CA,,CVZP,53.25,-131.8,+0006.0,19480101,20190831,POINT(-131.8 53.25),2000-01-01
1950-01-01,23187,999999,1950,01,01,44,24,20.3,24,1016.1,24,862.2,24,25.3,24,11.4,24,22.9,999.9,46.9,*,39,*,0,I,999.9,0,0,0,0,0,0,999999,SANDBERG,US,CA,KSDB,34.744,-118.724,+1378.6,19480101,19721231,POINT(-118.724 34.744),2000-01-01
1950-01-01,99999,293560,1950,01,01,-20.2,4,-21.5,4,1024.2,4,9999.9,0,999.9,0,2.0,4,4.1,999.9,-13,,-26,*,0.02,E,999.9,0,0,1,0,0,0,293560,CHINDAT-IN-KRASNOY,RS,,,57.367,89.317,+0150.0,19480101,19890830,POINT(89.317 57.367),2000-01-01
1950-01-01,99999,483270,1950,01,01,66.3,6,57.4,5,9999.9,0,9999.9,0,1.6,4,2.7,5,2.9,999.9,86,,50,,0,I,999.9,1,0,0,0,0,0,483270,CHIANG MAI INTL,TH,,VTCC,18.767,98.963,+0315.8,19421231,20190831,POINT(98.963 18.767),2000-01-01
1950-01-01,99999,065900,1950,01,01,27,4,19,4,1031.8,4,9999.9,0,8.1,4,9.5,4,14.0,999.9,32,,23,,0,I,999.9,0,0,0,0,0,0,065900,LUXEMBOURG,LU,,ELLX,49.627,6.212,+0376.1,19490101,20190831,POINT(6.212 49.627),2000-01-01
